Bloom_Level,Verb
Remember,Define
Remember,List
Remember,Identify
Remember,Recall
Remember,State
Remember,Name
Remember,Label
Remember,Recognize
Understand,Explain
Understand,Describe
Understand,Summarize
Understand,Discuss
Understand,Illustrate
Understand,Interpret
Understand,Classify
Understand,Compare
Apply,Apply
Apply,Implement
Apply,Solve
Apply,Demonstrate
Apply,Execute
Apply,Use
Apply,Calculate
Apply,Perform
Analyze,Analyze
Analyze,Differentiate
Analyze,Compare
Analyze,Examine
Analyze,Investigate
Analyze,Categorize
Analyze,Distinguish
Analyze,Inspect
Evaluate,Evaluate
Evaluate,Justify
Evaluate,Critique
Evaluate,Assess
Evaluate,Recommend
Evaluate,Judge
Evaluate,Verify
Evaluate,Defend
Create,Design
Create,Develop
Create,Construct
Create,Formulate
Create,Create
Create,Propose
Create,Build
Create,Generate
